transcript_id,1BS,1DS,2BS,2DS,3BS,3DS
g21894.t1,7006,3191,5628,8111,5728,7325
g21900.t1,1768,782,2007,2712,1369,1876
g21901.t1,4426,2315,5753,7268,4946,5332
g21902.t1,162,0,0,235,0,80
g21903.t1,5203,1773,2653,4983,2187,4809
g21905.t1,4,12,3,0,9,11
g21904.t1,1764,1408,2424,3799,2108,1229
g21907.t1,314,293,460,418,331,513
g21906.t1,2423,1588,2967,2635,2304,2827
g21908.t1,147,167,324,189,251,314
g21909.t1,1242,1191,2032,1457,1615,2139
g21910.t1,1982,1094,2442,3156,1637,1488
g21911.t1,1,2,0,38,1,17
g21913.t1,12,12,10,13,6,8
g21914.t1,10,15,17,17,6,4
g21915.t1,3,7,6,6,1,2
g21916.t1,11,0,15,9,11,2
g21919.t1,1,3,2,1,0,1
g21922.t1,2,2,2,3,2,2
g21921.t1,10,4,18,6,11,10
g21924.t1,0,0,0,0,0,0
g21925.t1,15,0,0,0,0,0
g21927.t1,23,4,19,18,9,18
g21926.t1,32,10,23,18,66,38
g21931.t1,1,2,0,0,1,0
g21940.t1,1,7,2,5,12,8
g21947.t1,0,0,0,10,0,18
g21955.t1,1,1,10,10,9,6
g21964.t1,1,0,0,5,7,2
g21974.t1,5,4,6,0,0,10
g21973.t1,9,34,25,4,13,6
g21990.t1,3,3,5,3,4,3
g21995.t1,28,12,6,0,0,0
g21996.t1,213,131,127,3,70,0
g22002.t1,0,7,0,0,0,0
g21999.t1,35,23,25,11,18,16
g22000.t1,5,5,3,2,5,2
g22007.t1,2,0,1,0,0,0
g22004.t1,0,0,0,3,0,0
g22005.t1,1,1,2,2,1,2
g22017.t1,7,5,20,7,14,9
g22016.t1,0,0,0,0,0,0
g22014.t1,21,0,0,0,0,0
g22023.t1,4,0,0,0,0,2
g22020.t1,11,0,9,7,6,5
g22043.t1,48,93,28,23,18,36
g22044.t1,39,57,70,83,50,103
g22049.t1,2,3,0,0,0,2
g22051.t1,0,0,0,0,0,0
g22052.t1,95,63,23,24,31,23
g22055.t1,9,1,0,3,0,10
g22056.t1,22,9,0,13,0,12
g22066.t1,13,0,0,0,0,0
g22067.t1,35,0,0,0,0,0
g22073.t1,0,0,0,0,0,0
g22074.t1,0,0,0,0,0,0
g22085.t1,0,0,0,0,0,0
g22086.t1,49,0,20,0,50,0
g22087.t1,10,0,9,0,19,0
g22095.t1,12,11,18,90,25,55
g22105.t1,1,4,0,0,0,0
g22106.t1,4,1,0,0,0,0
g22109.t1,3,1,1,0,4,0
g22111.t1,35,33,25,15,30,12
g22113.t1,44,38,0,0,0,0
g22115.t1,9,18,3,6,0,7
g22119.t1,2,0,0,0,0,0
g22126.t1,4,0,0,0,0,11
g22124.t1,0,0,14,0,0,10
g22123.t1,12,3,17,7,30,35
g22125.t1,12,0,13,0,0,5
g22127.t1,10,2,0,0,2,13
g22128.t1,16,20,0,0,0,0
g22129.t1,4,11,3,0,2,0
g22138.t1,3,0,0,0,0,0
g22134.t1,41,15,35,22,35,15
g22140.t1,28,9,13,0,21,2
g22155.t1,1,0,0,4,0,0
g22163.t1,0,0,0,2,0,0
g22175.t1,1,6,18,11,20,5
g22165.t1,123,76,111,103,62,89
g22166.t1,29,7,25,26,17,14
g22167.t1,24,21,12,8,11,7
g22168.t1,56,86,49,13,37,20
g22177.t1,0,0,3,17,4,3
g22182.t1,0,0,0,0,0,0
g22183.t1,4,0,0,0,0,0
g22186.t1,0,0,0,16,0,7
g22193.t1,0,0,0,0,2,4
g22190.t1,13,0,31,2,18,5
g22194.t1,0,0,0,0,0,0
g22197.t1,4,13,27,23,36,11
g22201.t1,0,6,11,3,4,7
g22199.t1,0,0,0,0,3,4
g22203.t1,13,0,16,43,10,64
g22202.t1,0,0,17,8,15,17
g22205.t1,0,0,0,0,0,0
g22210.t1,44,18,10,19,20,41
g22212.t1,14,33,14,46,7,63
g22214.t1,28,26,27,45,16,29
g22221.t1,0,0,0,0,0,0
g22223.t1,13,17,6,0,0,21
g22241.t1,0,0,2,0,0,0
g22240.t1,0,0,19,29,17,22
g22244.t1,8,5,14,2,3,3
g22248.t1,31,10,20,25,12,33
g22249.t1,97,108,108,99,108,128
g22250.t1,122,66,70,55,69,73
g22252.t1,3262,2900,3293,5936,2606,3440
g22253.t1,5693,2071,5194,7046,3174,5670
g22254.t1,1761,1700,2065,3214,1315,1908
g22255.t1,53,14,14,33,5,23
g22256.t1,0,0,87,0,37,0
g22257.t1,43,24,44,32,53,33
g22258.t1,6345,2684,3671,4783,2776,4110
g22259.t1,1618,324,1765,811,1200,1112
g22260.t1,6708,3987,3650,5377,3005,4768
g22268.t1,113,63,95,79,99,86
g22267.t1,1337,770,2302,1571,1533,1562
g22264.t1,1337,940,1262,1574,1084,1847
g22265.t1,34,38,50,39,27,47
g22266.t1,6978,5508,5255,5025,4735,4948
g22269.t1,977,475,600,546,419,360
g22270.t1,1259,1169,1289,1458,820,1710
g22271.t1,331,91,381,279,300,292
g22272.t1,830,515,580,431,469,612
g22273.t1,1611,1367,1957,2306,1506,1489
g22275.t1,752,677,882,805,662,965
g22276.t1,3471,3158,3724,3023,3275,2965
g22277.t1,2336,1817,2502,1527,2062,1798
g22279.t1,0,2,0,0,2,0
g22280.t1,8,0,0,0,0,0
g22278.t1,1259,796,1423,1175,1141,1433
g22281.t1,7700,5464,9320,8016,6235,7434
g22282.t1,2140,679,1173,1013,771,2623
g22283.t1,804,591,192,2374,127,214
g22285.t1,408,311,97,1091,83,174
g22288.t1,4463,3534,2549,3894,2009,2662
g22289.t1,1250,857,1119,1393,820,1136
g22292.t1,437,261,605,517,442,609
g22293.t1,11,1,63,47,35,55
g22294.t1,4,1,39,8,25,3
g22295.t1,1411,986,1609,1576,1223,1672
g22299.t1,0,3,0,0,0,0
g22298.t1,202,107,228,146,132,138
g22300.t1,191,83,185,126,92,159
g22296.t1,1851,764,912,1469,829,1417
g22297.t1,4869,2940,5452,4393,3806,4608
g22302.t1,797,682,1155,1378,1247,958
g22304.t1,84,42,75,43,32,47
g22301.t1,10028,6402,9145,11818,7998,10761
g22305.t1,74,60,136,36,97,133
g22307.t1,2,5,0,0,0,0
g22308.t1,86,0,29,77,22,64
g22309.t1,216,29,163,259,67,111
g22310.t1,6,1,1,0,0,1
g22311.t1,144,0,0,2,4,0
g22313.t1,0,0,0,0,0,0
g22312.t1,3,2,0,0,0,0
g22314.t1,283,35,197,75,278,637
g22315.t1,2781,1284,1862,2131,1658,2241
g22316.t1,69,74,148,143,102,140
g22317.t1,780,631,1496,651,1035,1191
g22318.t1,1536,1119,1439,1727,949,1063
g22319.t1,134,73,276,165,130,215
g22320.t1,5,0,5,17,3,0
g22323.t1,15,0,0,9,0,0
g22324.t1,142,39,37,48,36,36
g22329.t1,297,359,533,478,290,445
g22325.t1,172,125,137,133,143,248
g22326.t1,391,241,413,258,322,423
g22327.t1,556,280,417,399,291,277
g22332.t1,10,3,25,34,25,12
g22330.t1,2213,1122,2087,2703,1592,1420
g22331.t1,1435,946,1320,1642,936,1867
g22337.t1,18,7,29,6,6,17
g22339.t1,213,70,401,187,375,360
g22333.t1,1025,746,1481,1352,1051,998
g22334.t1,1606,1168,1466,1812,1208,1647
g22335.t1,1221,722,1725,1495,1385,1507
g22336.t1,272,103,339,249,274,414
g22340.t1,578,170,786,94,382,753
g22344.t1,37,66,29,5,0,0
g22343.t1,25794,13847,33957,48375,26056,38384
g22345.t1,2351,1596,1607,1379,1058,1370
g22346.t1,1113,899,1130,801,767,1032
g22347.t1,1575,1193,1465,1696,1025,1283
g22348.t1,1228,491,689,1597,473,1675
g22349.t1,11,7,0,21,0,20
g22355.t1,0,0,0,0,0,0
g22353.t1,962,237,891,965,652,1117
g22354.t1,77,39,110,94,75,81
g22350.t1,6410,4505,5693,8013,4760,7063
g22351.t1,2141,1141,2236,1721,1727,2106
g22359.t1,196,56,155,64,83,103
g22360.t1,60,68,35,22,43,36
g22361.t1,225,64,112,104,50,41
g22362.t1,2,2,0,11,0,4
g22363.t1,62,42,127,98,57,36
g22365.t1,3,37,86,58,42,82
g22364.t1,360,249,472,274,410,452
g22366.t1,7699,3847,5261,13499,4239,2764
g22372.t1,41,22,19,19,16,20
g22376.t1,102,25,28,40,26,57
g22377.t1,367,164,589,297,373,467
g22379.t1,169,266,219,61,219,53
g22382.t1,13,2,7,15,17,22
g22380.t1,178,142,222,71,147,119
g22381.t1,296,143,347,241,195,243
g22384.t1,5968,585,6547,4397,2145,2215
g22385.t1,21,0,0,0,0,6
g22386.t1,6,0,2,1,1,3
g22387.t1,5471,1475,3167,5020,1263,11744
g22388.t1,19,0,0,24,0,48
g22389.t1,3188,931,2631,1100,1119,4464
g22390.t1,8,0,0,4,0,29
g22391.t1,17319,9745,19819,24017,12252,20250
g22393.t1,980,527,843,909,675,761
g22394.t1,738,406,698,617,518,627
g22395.t1,673,398,519,417,411,600
g22396.t1,4116,730,1141,5066,1116,1464
g22397.t1,285,169,209,336,193,310
g22398.t1,142,200,213,254,167,258
g22400.t1,255,300,276,239,145,243
g22399.t1,2779,1959,3053,2403,2564,2714
g22401.t1,513,354,1166,791,958,720
g22403.t1,2,0,0,0,0,0
g22402.t1,2805,2334,4064,3546,2871,4094
g22404.t1,454,297,419,503,267,861
g22408.t1,44,20,10,3,3,6
g22412.t1,36,19,3,10,4,11
g22415.t1,425,169,437,52,178,655
g22418.t1,17,5,4,8,10,18
g22421.t1,65,12,47,31,62,87
g22422.t1,408,497,359,470,232,284
g22416.t1,4756,2749,4075,4887,3029,3912
g22417.t1,2949,2796,4670,3222,4139,3825
g22423.t1,928,520,2320,387,1363,635
g22425.t1,184,159,221,143,166,224
