gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g65120,0,0,0,1,0,0
g65122,0,0,0,0,0,0
g65123,0,0,0,0,0,0
g65125,0,0,0,0,0,0
g65128,0,0,1,0,0,2
g65124,4,1,8,1,1,1
g65138,4780,2647,1925,3663,1730,3330
g65139,261,151,22,109,0,40
g65141,0,0,0,0,0,3
g65143,0,0,0,0,4,0
g65144,0,0,0,2,0,1
g65145,0,0,0,10,0,5
g65146,0,0,0,0,0,0
g65147,0,1,0,0,0,0
g65148,0,0,0,0,0,0
g65151,0,0,0,0,0,0
g65152,0,0,0,19,0,0
g65153,0,0,0,0,0,0
g65154,0,0,0,0,0,0
g65157,0,0,0,0,0,0
g65149,2,0,0,0,0,2
g65150,6,0,0,2,0,0
g65155,75,14,0,37,0,31
g65158,63,17,0,29,0,23
g65169,5,0,4,0,6,0
g65164,0,2,1,4,3,9
g65167,0,0,1,17,6,18
g65159,458,154,350,88,263,328
g65160,18,16,2,19,0,8
g65161,7,3,2,8,4,2
g65162,147,3,25,44,24,35
g65163,3,5,4,0,3,0
g65165,3,3,2,2,2,5
g65176,260,76,81,30,72,48
g65178,12,0,0,17,2,19
g65189,0,0,0,2,0,0
g65186,24,4,0,20,1,9
g65187,26,5,0,20,0,0
g65188,1,0,0,0,0,0
g65191,8,0,19,0,21,0
g65197,7,0,0,0,0,0
g65200,107,3,98,3,100,0
g65201,20,0,9,3,11,1
g65205,3,4,0,3,0,0
g65208,0,0,0,0,0,0
g65214,5,6,0,8,4,0
g65215,0,0,4,7,0,0
g65217,1,0,0,3,3,3
g65219,2,0,0,5,5,14
g65236,2,2,3,0,0,0
g65238,4,0,8,0,3,0
g65259,9,1,10,9,9,12
g65260,13,26,113,85,117,71
g65261,36,29,173,114,103,85
g65264,1,0,1,1,1,1
g65265,25,7,6,8,13,17
g65267,0,0,0,0,0,0
g65272,0,0,3,0,0,0
g65275,8,0,0,0,0,0
g65279,6,0,4,3,0,8
g65282,27,14,13,31,12,40
g65285,0,0,0,0,0,0
g65287,1,0,0,0,2,0
g65293,1,0,4,8,5,0
g65290,19,0,66,0,37,2
g65291,28,11,27,0,27,5
g65292,12,0,12,45,26,5
g65301,3,0,2,0,1,0
g65304,429,466,383,348,252,553
g65305,1028,256,283,382,297,256
g65308,0,0,0,0,0,0
g65307,4796,1645,10989,2188,5655,7723
g65309,2727,1686,3412,3002,2196,3326
g65310,266,230,439,377,354,349
g65311,775,466,1011,1121,667,875
g65312,0,3,18,13,15,14
g65313,132,102,87,81,49,61
g65314,0,0,0,3,0,3
g65315,342,232,323,466,166,310
g65319,1011,694,544,878,452,853
g65322,22,0,0,0,0,0
g65323,27,0,0,0,0,1
g65324,39,0,0,0,0,0
g65325,5,3,8,9,15,4
g65326,9,25,15,24,12,32
g65327,1229,678,1075,1757,949,1315
g65328,695,161,354,130,269,168
g65329,6900,2833,4407,3404,3429,3029
g65330,507,63,142,18,119,20
g65331,7739,2666,3936,1626,3322,1683
g65333,2586,2402,2492,2775,1746,2307
g65335,108,55,53,105,82,131
g65336,8,7,10,2,8,8
g65343,163,147,119,114,114,131
g65345,10,18,5,0,3,6
g65346,83,27,125,114,120,148
g65347,660,99,414,210,424,658
g65348,869,691,1694,1937,1171,1876
g65350,224,247,246,236,245,309
g65358,0,24,20,28,7,33
g65360,0,0,3,6,4,0
g65359,169,401,101,138,79,197
g65361,36,0,0,19,11,15
g65353,0,0,0,0,2,0
g65352,9,0,0,2,0,0
g65354,1215,766,620,1714,509,2156
g65355,4,0,0,19,0,0
g65356,62,17,5,15,4,34
g65357,1717,563,925,1747,747,1286
g65365,0,2,0,4,0,0
g65364,15,3,4,39,10,36
g65366,2,4,0,4,2,6
g65367,5,0,10,10,2,6
g65368,34,29,74,30,40,41
g65369,41,36,11,41,23,34
g65370,83,61,46,138,42,132
g65372,41,26,80,36,57,40
g65375,284,662,850,383,785,461
g65376,257,184,200,272,70,335
g65377,5780,1841,2519,4772,1213,929
g65378,64,92,49,57,30,134
g65398,0,0,0,0,0,0
g65401,124,30,17,10,10,38
g65402,62,21,4,5,7,41
g65389,0,0,0,1,0,1
g65390,0,0,0,0,0,0
g65391,0,0,0,0,0,0
g65394,0,0,0,0,0,0
g65395,0,0,0,0,0,0
g65396,0,0,0,0,0,0
g65397,0,0,0,0,0,0
g65381,4,1,1,0,0,3
g65382,1428,19,148,146,70,746
g65383,26,13,9,45,3,23
g65388,906,98,943,0,553,0
g65392,16,12,11,0,21,0
g65405,9886,3757,6621,6707,5305,9107
g65406,260,475,1049,690,910,460
g65410,62,0,52,18,25,34
g65408,1991,975,2122,1555,1493,1996
g65409,902,415,991,780,755,741
g65411,488,242,697,499,416,532
g65412,1513,487,1267,810,1013,635
g65414,254,92,578,68,360,78
g65415,497,0,672,34,571,0
g65421,24,0,7,10,8,32
g65420,501,210,713,314,425,491
g65422,2238,1296,1732,1768,1558,1570
g65425,498,301,463,341,315,407
g65429,1,1,0,0,0,1
g65430,915,62,427,120,416,715
g65431,39,6,118,3,20,17
g65426,221,132,239,144,176,219
g65427,13908,7619,11387,16675,8613,11107
g65428,147,138,274,221,155,231
g65432,0,0,0,0,0,0
g65433,3070,355,719,1474,284,4582
g65434,4727,4482,4360,4863,3663,3783
g65440,60,20,0,10,0,5
g65442,80,35,71,79,62,29
g65443,23,11,31,22,28,20
g65444,63,22,124,104,51,115
g65445,57,15,72,33,72,35
g65446,463,72,315,155,309,167
g65447,45,7,23,25,23,29
g65448,8,9,5,6,4,8
g65451,46,1,36,10,24,62
g65452,2,0,7,0,5,0
g65453,592,37,1203,170,1108,277
g65454,42,0,119,0,78,0
g65457,898,716,1409,405,761,684
g65459,33,1,45,1,14,5
g65461,387,0,552,300,332,332
g65463,16,0,0,4,15,11
g65464,3,4,1,0,2,2
g65465,8,0,8,11,9,22
g65466,32,0,14,28,14,15
g65473,9,0,10,19,6,22
g65474,321,313,667,442,337,454
g65475,325,491,1156,474,1004,876
g65476,25,46,50,58,29,37
g65477,568,847,1083,1272,717,1569
g65479,3,4,3,4,5,10
g65480,1972,1255,2574,1217,1554,2291
g65481,1114,385,1331,950,723,1231
g65482,326,186,490,330,308,312
g65483,1130,774,1181,1132,859,755
g65484,1668,998,1496,665,1098,2053
g65485,2020,1539,1841,4354,1548,1683
g65487,0,0,0,2,0,0
g65486,2192,1509,2016,2085,1651,1588
g65489,1481,708,2879,1027,2127,1575
g65496,43,40,78,7,38,4
g65497,130,59,54,84,82,198
g65498,236,99,120,149,148,419
g65500,3964,2251,4660,3010,4031,4302
g65505,1041,605,1001,797,672,932
g65509,18,4,29,12,16,24
g65517,1,2,3,3,5,5
g65510,17,9,15,11,27,15
g65511,56,28,59,19,33,42
g65512,4,0,2,2,3,9
g65513,28,16,35,16,38,69
g65514,6,15,38,14,38,58
g65515,22,5,6,4,9,20
g65516,60,53,52,22,29,40
g65506,16103,8074,14145,13861,12880,16490
g65507,123,138,127,117,96,98
g65526,6,10,1,7,17,21
g65527,4,2,1,4,0,2
g65528,671,420,721,930,586,738
g65533,466,300,452,593,347,425
g65534,80,66,119,79,113,90
g65535,246,120,321,211,189,303
g65536,7,2,15,4,3,6
g65537,206,40,159,190,126,163
g65538,20,0,8,11,9,4
g65539,211,124,214,144,209,169
g65541,0,0,0,0,0,0
g65542,4,128,234,13,129,38
g65543,756,379,529,299,398,848
g65544,7,0,0,0,0,0
g65545,1509,1372,2851,2180,2333,2151
g65546,259,190,583,388,376,539
g65547,6,20,52,0,13,6
g65558,21,210,493,215,501,642
g65562,15,0,0,0,0,4
g65563,34,0,42,23,39,21
g65564,27,11,16,8,6,12
g65566,54,0,4,3,0,0
g65572,0,2,1,2,2,2
g65571,163,90,213,323,197,184
g65573,1,1,3,1,4,1
g65576,2,0,2,7,0,2
g65577,5,3,1,8,2,10
g65579,2,0,1,0,0,1
g65586,1,0,0,0,6,1
g65587,2,3,3,1,0,2
g65589,0,0,0,0,0,0
g65590,2,0,0,0,0,0
g65591,9,4,3,7,10,6
g65592,2,0,0,3,3,2
g65593,1,1,1,1,1,4
g65594,10,0,6,9,14,0
g65595,6,3,9,7,7,5
g65596,2,14,0,3,0,0
g65598,0,0,0,0,0,0
g65601,0,0,0,0,0,0
g65602,0,0,0,0,0,0
g65604,0,0,0,0,0,2
g65606,0,0,3,0,0,0
g65607,0,0,4,2,4,0
g65608,0,0,0,0,0,1
g65603,14,18,22,90,17,97
g65605,4,0,0,5,0,4
g65616,4,0,0,0,0,0
g65620,0,0,0,0,0,0
g65621,20,4,7,17,7,24
g65629,72,17,25,47,32,68
g65637,1,0,2,0,1,0
g65648,6,12,28,0,46,0
g65654,9,0,0,0,0,0
g65657,0,0,0,0,0,0
g65660,2,0,0,0,0,0
g65661,4,0,4,0,0,0
g65667,4,4,1,5,0,9
g65668,0,3,0,0,0,0
g65669,6,0,0,1,2,4
g65670,3,0,0,1,0,0
g65675,5,16,4,7,1,0
g65681,0,0,157,0,57,0
g65682,3,0,47,0,17,0
g65683,0,0,0,0,0,0
g65685,34,7,4,14,0,13
g65688,2,1,0,0,1,2
g65696,2,0,0,0,0,0
g65698,6,3,0,0,0,0
g65704,17,2,5,3,2,4
g65705,11,3,7,8,4,6
g65709,3,0,3,1,1,0
g65713,2,2,5,2,0,2
g65717,44,55,0,1822,0,1995
g65727,174,14,17,87,14,69
g65731,0,0,0,26,0,27
g65732,0,0,0,4,0,11
g65733,0,0,0,0,0,0
g65734,0,0,0,0,0,0
g65736,0,0,6,0,0,0
g65739,0,0,0,17,0,16
g65741,0,0,0,5,0,0
g65743,0,0,0,0,0,0
g65745,0,0,0,0,0,0
g65746,0,0,0,0,0,0
g65749,0,0,2,0,0,2
g65751,0,0,0,0,0,0
g65752,0,0,0,0,0,0
g65753,0,0,0,0,0,0
g65754,0,0,0,0,0,0
g65755,0,0,1,1,0,0
g65737,37,2,13,14,9,5
g65740,4,0,1,0,0,0
g65756,6,5,2,15,2,4
g65769,2,0,0,0,0,4
g65770,3,0,2,0,0,5
g65771,2,0,0,0,0,0
g65774,8,0,0,0,0,6
g65775,0,0,0,0,0,0
g65776,2,0,0,0,0,0
g65778,1,0,3,0,2,2
g65789,0,0,0,5,0,0
g65791,356,191,1078,639,1166,548
g65792,200,61,198,0,224,0
g65796,11,8,0,53,0,213
g65800,0,7,0,12,0,0
g65811,4,3,13,13,3,9
g65813,1397,1159,2140,1433,1511,1782
g65817,9,6,0,20,23,35
g65824,0,0,0,0,0,4
g65819,615,388,386,510,349,494
g65823,68,45,121,131,78,150
g65825,3915,3080,5038,5218,3811,4204
g65826,2242,1302,2495,2528,1944,2347
g65827,1854,1301,1821,1721,1422,1578
g65828,1390,951,804,1629,714,1035
g65829,1064,526,936,742,685,1000
g65831,1394,1231,1062,1601,878,1102
g65832,8543,5235,6670,8297,4861,8044
g65833,3224,1717,3327,2300,2238,2569
g65834,27,37,66,24,44,25
g65835,712,479,947,513,720,742
g65836,728,517,1153,1253,819,644
g65839,5,2,0,2,0,1
g65837,586,789,1335,1336,768,760
g65841,10,5,6,1,1,7
g65842,3,14,5,42,7,39
g65843,3,0,0,0,0,12
g65845,9,11,63,0,61,2
g65849,0,4,4,3,7,0
g65850,4,0,0,0,0,0
g65852,2,0,0,0,0,0
g65853,3,0,0,4,3,0
g65855,4,1,0,22,0,9
g65859,2,1,0,1,1,1
g65860,14,8,5,7,9,13
g65861,4,3,3,3,1,2
g65863,0,2,4,4,0,0
g65866,0,12,0,0,4,8
g65867,0,0,0,0,0,0
g65864,2,9,8,4,0,6
g65865,2,3,0,1,0,2
g65868,24,8,16,6,13,8
g65869,134,51,52,73,41,91
g65870,27,13,7,17,6,24
g65871,37,14,13,29,6,32
g65872,60,25,31,73,10,62
g65873,13,5,20,11,23,31
g65874,42,8,12,14,21,13
g65878,0,0,4,0,2,2
g65877,8,0,0,0,0,4
g65879,7,8,20,4,11,4
g65880,4091,1784,2892,3940,2027,4280
g65881,104,61,57,71,93,85
g65886,1827,455,984,716,980,1533
g65888,1070,565,746,569,657,956
g65889,1931,691,412,395,410,806
g65892,0,0,0,0,0,0
g65890,438,134,19,16,17,50
g65891,588,148,41,44,32,92
g65893,7,4,0,0,0,0
g65894,3,0,0,2,0,0
g65897,0,6,27,11,19,46
g65901,1181,1039,1003,812,975,1007
g65902,1080,633,669,747,565,896
g65904,124,31,85,113,49,112
g65907,448,256,482,294,416,411
g65909,0,0,0,0,0,0
g65908,5,0,0,3,9,2
